id,stationName,latitude,longitude,addr,item,created_at,updated_at
34,서대문구,37.593749,126.949534,서울 서대문구 세검정로4길 32(홍제3동 주민센터),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
35,마포구,37.55561,126.905457,서울 마포구 포은로 6길 10망원1동주민센터 옥상,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
36,신촌로,37.554936,126.937619,서울 마포구 노고산동 57-62(신촌역 7번 출구),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
37,강서구,37.544656,126.835094,서울 강서구 강서로 45 다길 71 화곡3동푸른들청소년도서관,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
38,공항대로,37.562821,126.826071,서울 강서구 마곡동 727-1091마곡역 중앙차로정류장 옆,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
39,구로구,37.498498,126.889692,서울 구로구 가마산로 27길 45구로고등학교,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
40,영등포구,37.525007,126.89737,서울특별시 영등포구 당산로 123영등포구청 (당산동3가),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
41,영등포로,37.520222,126.904967,서울 영등포구 영중로 37(영등포시장사거리),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
42,동작구,37.480989,126.971547,서울 동작구 사당로16아길 6사당4동 주민센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
43,동작대로 중앙차로,37.492107,126.983245,서울 동작구 동작대로 144이수역 북단 버스중앙차로,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
44,관악구,37.488242,126.927089,서울 관악구 신림동길 14신림동 주민센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
45,강남구,37.5175623,127.0472893,서울 강남구 학동로 426강남구청 별관 1동,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
46,서초구,37.504547,126.994611,서울 서초구 신반포로15길 16반포 2동 주민센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
47,도산대로,37.516083,127.019694,서울 강남구 도산대로 104신사역2번출구 앞,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
48,강남대로,37.482867,127.035621,서울특별시 서초구 강남대로 201서초구민회관 앞 중앙차로 (양재동),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
49,송파구,37.502685,127.092385,서울 송파구 백제고분로 236삼전동 주민센터 (삼전동),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
50,강동구,37.545089,127.136806,서울 강동구 구천면로 42길 59천호1동 주민센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
51,천호대로,37.534035,127.139172,서울 강동구 천호대로 1151길동사거리 강동성모요양병원 앞),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
52,금천구,37.452386,126.908333,서울 금천구 금하로21길 20시흥5동 주민센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
53,시흥대로,37.474899,126.898657,서울 금천구 독산동 996-9한양수자인아파트 앞,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
54,강북구,37.64793,127.011952,서울 강북구 삼양로 139길 49우이동 주민센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
55,양천구,37.523286,126.858689,서울 양천구 중앙로52길 56신정4동 문화센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
56,노원구,37.657415,127.067876,서울 노원구 상계로 118상계2동 주민센터 (23길 17 노원구 원터행복발전소),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
57,화랑로,37.617315,127.07512,서울 노원구 화랑로 429태능입구역 8번 출구,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
58,신풍동,37.283798,127.010472,경기 수원시 팔달구 신풍로 23번길 68선경도서관,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
59,인계동,37.26334,127.02863,경기 수원시 팔달구 효원로 241수원시청,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
60,광교동,37.291272,127.070818,경기 수원시 영통구 법조로 129이의중학교,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
61,영통동,37.246927,127.056315,경기 수원시 영통구 영통로 217번길 12영통2동 행정복지센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
62,천천동,37.292756,126.975303,경기 수원시 장안구 서부로 2066성균관대학교 제2공학관,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
63,경수대로(동수원),37.2778,127.0306,경기 수원시 팔달구 인계동 1047동수원사거리,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
64,고색동,37.252226,126.976304,경기 수원시 권선구 서부로 1600수원시도로교통관리사업소,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
65,호매실동,37.2661,126.9568,경기도 수원시 권선구 칠보로 161호매실동 행정복지센터 (호매실동),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
66,대왕판교로(백현동),37.3825762,127.1027442,경기 성남시 분당구 판교동 652-1백현1교차로,"SO2, CO, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
67,단대동,37.449479,127.155512,경기 성남시 수정구 희망로 506번길 21단대동행정복지센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
68,정자동,37.36078,127.11933,경기 성남시 분당구 돌마로 242정자3동행정복지센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
69,수내동,37.382662,127.119103,경기 성남시 분당구 분당로 50분당구청,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
70,성남대로(모란역),37.4339,127.1293,경기 성남시 수정구 성남대로 1229모란역사거리,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
71,복정동,37.4563598,127.1304652,경기 성남시 수정구 성남대로 1416번길 22복정정수장,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
72,운중동,37.390588,127.077838,경기 성남시 분당구 운중로 138번길 10운중동행정복지센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
73,상대원동,37.433169,127.164372,경기 성남시 중원구 둔촌대로 425상대원1동행정복지센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
74,의정부동,37.735582,127.040421,경기 의정부시 범골로 138경기도도로사업소,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
75,의정부1동,37.746355,127.047652,경기 의정부시 가능로152번길 14의정부1동 주민센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
76,송산3동,37.7481,127.106,경기도 의정부시 민락로243번길 94푸른마당 근린공원 인근 연결녹지(송양유치원과 민락천 사이) (민락동),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
77,안양6동,37.389996,126.930583,경기 안양시 만안구 안양로170번길 23안양6동 행정복지센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
78,부림동,37.394327,126.956859,경기 안양시 동안구 시민대로 235안양시청 민원실,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
79,호계동,37.381136,126.952641,경기 안양시 동안구 경수대로 665번길 11호계2동 행정복지센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
80,안양2동,37.4051,126.9178,경기 안양시 만안구 안양로 384번길 50안양2동 행정복지센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
81,철산동,37.476221,126.86981,경기 광명시 시청로 20광명시청 제1별관,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
82,소하동,37.452158,126.884909,경기 광명시 소하일로 7소하도서관,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
83,고잔동,37.3221,126.8305,경기 안산시 단원구 화랑로 387안산시청,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
84,원시동,37.305255,126.788503,경기 안산시 단원구 산단로 112 근로복지관민주노총,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
85,본오동,37.296107,126.87234,경기 안산시 상록구 각골길 75본오2동행정복지센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
86,원곡동,37.331632,126.801758,경기 안산시 단원구 원선로 91백운동행정복지센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
87,부곡동1,37.332,126.8611,경기 안산시 상록구 성호로 326부곡동 행정복지센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
88,대부동,37.2437,126.5854,경기 안산시 단원구 대부중앙로 97-9대부동 행정복지센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
89,호수동,37.304889,126.833521,경기 안산시 단원구 안산천남로 119양지중학교,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
90,중앙대로(고잔동),37.316703,126.82792,경기 안산시 단원구 중앙대로 822안산P1펌프장,"SO2, CO, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
91,별양동,37.423889,126.994512,경기 과천시 코오롱로 53문원초등학교,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
92,과천동,37.448806,127.002329,경기 과천시 상하벌로 17과천시 환경사업소,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
93,교문동,37.594755,127.130141,경기 구리시 아차산로 439구리시청 구리시의회,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
94,동구동,37.6187,127.1383,경기 구리시 동구릉로 217-14시립동구어린이집,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
95,부곡3동,37.320048,126.948907,경기도 의왕시 덕영대로 166부곡청소년문화의 집 (삼동),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
96,고천동,37.3442,126.969,경기 의왕시 시청로 11의왕시청 민원실,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
97,정왕동,37.3468,126.7401,경기 시흥시 정왕대로 233번길 19정왕보건지소,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
98,시화산단,37.3367,126.7246,경기 시흥시 공단1대로 204시화유통상가 27동,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
99,대야동,37.4431,126.7884,경기 시흥시 복지로 37다다커뮤니티센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
100,목감동,37.3857,126.8619,경기도 시흥시 솔고개길 33목감공원 지상 (목감동),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
101,장현동,37.3801,126.8041,경기도 시흥시 시청로 20미래키움어린이집 옥상 (장현동),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
102,서해안로,37.354651,126.709878,경기도 시흥시 서해안로 277옥구공원 지상 론볼경기장 앞 (정왕동),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
103,금곡동,37.6356,127.2162,경기 남양주시 경춘로 1037남양주시청 신관,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
104,오남읍,37.698672,127.204729,경기 남양주시 오남읍 진건오남로 806-34오남읍사무소,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
105,별내동,37.652924,127.11586,경기도 남양주시 별내중앙로 148화접초등학교 (별내동),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
106,화도읍,37.657822,127.300702,경기도 남양주시 화도읍 비룡로 59화도수동행정복지센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
